"국가별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"국가별",인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%)
"알제리",0.5,0.6,1.6,2.2,4.6,5.8,7.4,9.5,10.2,11.2,12.5,14.9,18.2,22.5,29.5,38.2,42.9,47.7,49.0,57.9,62.9,-
"앙골라",0.1,0.1,0.3,0.4,0.5,1.1,1.5,1.7,1.9,2.3,2.8,4.7,7.7,13.0,21.4,22.0,23.2,26.0,29.0,32.4,36.0,-
"베냉",0.2,0.4,0.7,1.0,1.2,1.3,1.5,1.8,1.9,2.2,3.1,4.1,4.5,4.9,6.0,11.3,14.5,18.7,19.0,22.4,25.8,-
"보츠와나",2.9,3.4,3.4,3.3,3.3,3.3,4.3,5.3,6.3,6.2,6.0,9.0,16.0,30.0,36.7,37.3,39.4,41.4,58.0,61.0,64.0,-
"부르키나파소",0.1,0.2,0.2,0.4,0.4,0.5,0.6,0.8,0.9,1.1,2.4,3.0,3.7,5.0,6.0,8.0,12.0,16.8,17.4,9.3,22.0,-
"부룬디",0.1,0.1,0.1,0.2,0.3,0.5,0.7,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,2.0,2.2,2.7,4.1,6.2,9.4,-
"카메룬",0.3,0.3,0.4,0.6,1.0,1.4,2.0,2.9,3.4,3.8,4.3,5.0,7.5,10.0,16.2,18.3,20.6,23.2,29.7,33.5,37.8,-
"카보베르데",1.8,2.7,3.5,4.3,5.3,6.1,6.8,8.3,14.0,21.0,30.0,32.0,34.7,37.5,40.3,42.7,50.3,57.2,59.5,61.9,64.5,-
"중앙아프리카공화국",0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,1.0,1.8,2.0,2.2,2.4,2.5,2.7,2.9,3.1,4.0,5.1,8.3,10.4,-
"차드",0.0,0.0,0.2,0.3,0.4,0.4,0.6,0.8,1.2,1.5,1.7,1.9,2.1,2.5,2.9,3.5,5.8,7.4,8.0,9.8,10.4,-
"코모로",0.3,0.4,0.6,0.8,1.3,2.0,2.2,2.5,3.0,3.5,5.1,5.5,6.0,6.5,7.0,7.5,7.9,8.5,-,-,-,-
"콩고",0.0,0.0,0.2,0.5,1.1,1.5,2.0,2.8,4.3,4.5,5.0,5.6,6.1,6.6,7.1,7.6,8.1,8.7,-,-,-,-
"콩고민주공화국",0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.6,0.7,1.2,1.7,2.2,3.0,3.8,10.1,8.6,11.7,12.5,13.6,-
"코트디부아르",0.2,0.4,0.5,0.8,0.8,1.0,1.5,1.8,1.9,2.0,2.7,2.9,4.4,6.6,10.0,16.7,41.2,43.8,37.5,36.3,-,-
"지부티",0.2,0.3,0.5,0.6,0.8,1.0,1.3,1.6,2.3,4.0,6.5,7.0,9.4,12.7,17.0,22.9,30.8,55.7,58.0,59.0,59.0,-
"이집트",0.6,0.8,2.7,4.0,11.9,12.8,13.7,16.0,18.0,20.0,21.6,25.6,26.4,29.4,33.9,37.8,41.2,45.0,46.9,57.3,71.9,-
